id,ques_type,cat,score
1,CP,PC,6
,CP,PC,2
,CP,PC,6
,CP,PC,3
,MA,PC,3
,MA,PC,5
,MA,PC,6
,MU,PC,4
,MU,PC,5
,BE,PC,6
,BE,PC,5
2,CP,Mobile,7
,CP,Mobile,6
,CP,Mobile,5
,CP,Mobile,5
,MA,Mobile,3
,MA,Mobile,6
,MA,Mobile,6
,MU,Mobile,6
,MU,Mobile,7
,BE,Mobile,4
,BE,Mobile,5
3,CP,PC,5
,CP,PC,5
,CP,PC,6
,CP,PC,5
,MA,PC,7
,MA,PC,5
,MA,PC,4
,MU,PC,7
,MU,PC,6
,BE,PC,7
,BE,PC,7
4,CP,Mobile,6
,CP,Mobile,6
,CP,Mobile,4
,CP,Mobile,7
,MA,Mobile,6
,MA,Mobile,4
,MA,Mobile,3
,MU,Mobile,2
,MU,Mobile,3
,BE,Mobile,6
,BE,Mobile,6
5,CP,PC,6
,CP,PC,6
,CP,PC,7
,CP,PC,6
,MA,PC,5
,MA,PC,3
,MA,PC,4
,MU,PC,3
,MU,PC,3
,BE,PC,5
,BE,PC,5
6,CP,Mobile,7
,CP,Mobile,7
,CP,Mobile,7
,CP,Mobile,7
,MA,Mobile,6
,MA,Mobile,6
,MA,Mobile,4
,MU,Mobile,3
,MU,Mobile,3
,BE,Mobile,4
,BE,Mobile,5
7,CP,PC,5
,CP,PC,7
,CP,PC,5
,CP,PC,7
,MA,PC,5
,MA,PC,5
,MA,PC,7
,MU,PC,3
,MU,PC,7
,BE,PC,6
,BE,PC,5
8,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,6
,CP,Mobile,6
,MA,Mobile,3
,MA,Mobile,5
,MA,Mobile,3
,MU,Mobile,3
,MU,Mobile,6
,BE,Mobile,7
,BE,Mobile,7
9,CP,PC,6
,CP,PC,4
,CP,PC,6
,CP,PC,3
,MA,PC,5
,MA,PC,4
,MA,PC,4
,MU,PC,3
,MU,PC,3
,BE,PC,4
,BE,PC,4
10,CP,Mobile,5
,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,6
,MA,Mobile,5
,MA,Mobile,3
,MA,Mobile,3
,MU,Mobile,5
,MU,Mobile,3
,BE,Mobile,4
,BE,Mobile,4
11,CP,PC,7
,CP,PC,6
,CP,PC,5
,CP,PC,7
,MA,PC,7
,MA,PC,5
,MA,PC,5
,MU,PC,4
,MU,PC,7
,BE,PC,6
,BE,PC,4
12,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,7
,CP,Mobile,6
,MA,Mobile,6
,MA,Mobile,4
,MA,Mobile,6
,MU,Mobile,2
,MU,Mobile,6
,BE,Mobile,4
,BE,Mobile,7
13,CP,PC,4
,CP,PC,7
,CP,PC,3
,CP,PC,4
,MA,PC,4
,MA,PC,7
,MA,PC,5
,MU,PC,6
,MU,PC,3
,BE,PC,7
,BE,PC,5
14,CP,Mobile,7
,CP,Mobile,6
,CP,Mobile,7
,CP,Mobile,4
,MA,Mobile,3
,MA,Mobile,6
,MA,Mobile,7
,MU,Mobile,7
,MU,Mobile,4
,BE,Mobile,5
,BE,Mobile,3
15,CP,PC,2
,CP,PC,5
,CP,PC,4
,CP,PC,4
,MA,PC,3
,MA,PC,7
,MA,PC,2
,MU,PC,7
,MU,PC,3
,BE,PC,5
,BE,PC,4
16,CP,Mobile,5
,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,5
,MA,Mobile,7
,MA,Mobile,7
,MA,Mobile,3
,MU,Mobile,4
,MU,Mobile,5
,BE,Mobile,6
,BE,Mobile,7
17,CP,PC,3
,CP,PC,6
,CP,PC,6
,CP,PC,5
,MA,PC,5
,MA,PC,2
,MA,PC,5
,MU,PC,5
,MU,PC,4
,BE,PC,7
,BE,PC,7
18,CP,Mobile,5
,CP,Mobile,5
,CP,Mobile,6
,CP,Mobile,4
,MA,Mobile,6
,MA,Mobile,7
,MA,Mobile,7
,MU,Mobile,6
,MU,Mobile,6
,BE,Mobile,6
,BE,Mobile,6
19,CP,PC,7
,CP,PC,5
,CP,PC,4
,CP,PC,3
,MA,PC,6
,MA,PC,5
,MA,PC,5
,MU,PC,4
,MU,PC,3
,BE,PC,4
,BE,PC,7
20,CP,Mobile,5
,CP,Mobile,4
,CP,Mobile,5
,CP,Mobile,7
,MA,Mobile,3
,MA,Mobile,7
,MA,Mobile,5
,MU,Mobile,5
,MU,Mobile,4
,BE,Mobile,7
,BE,Mobile,7
21,CP,PC,7
,CP,PC,5
,CP,PC,7
,CP,PC,3
,MA,PC,6
,MA,PC,7
,MA,PC,4
,MU,PC,4
,MU,PC,3
,BE,PC,7
22,BE,PC,6
,CP,Mobile,6
,CP,Mobile,5
,CP,Mobile,4
,CP,Mobile,7
,MA,Mobile,6
,MA,Mobile,4
,MA,Mobile,5
,MU,Mobile,3
,MU,Mobile,4
23,BE,Mobile,3
,BE,Mobile,7
,CP,PC,5
,CP,PC,2
,CP,PC,5
,CP,PC,7
,MA,PC,6
,MA,PC,4
,MA,PC,4
,MU,PC,7
24,MU,PC,6
,BE,PC,5
,BE,PC,5
,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,6
,CP,Mobile,6
,MA,Mobile,4
,MA,Mobile,3
,MA,Mobile,6
25,MU,Mobile,5
,MU,Mobile,7
,BE,Mobile,5
,BE,Mobile,6
,CP,PC,3
,CP,PC,7
,CP,PC,6
,CP,PC,5
,MA,PC,5
,MA,PC,6
26,MA,PC,3
,MU,PC,7
,MU,PC,4
,BE,PC,7
,BE,PC,4
,CP,Mobile,5
,CP,Mobile,7
,CP,Mobile,5
,CP,Mobile,6
,MA,Mobile,5
27,MA,Mobile,6
,MA,Mobile,7
,MU,Mobile,7
,MU,Mobile,5
,BE,Mobile,5
,BE,Mobile,7
,CP,PC,6
,CP,PC,7
,CP,PC,6
,CP,PC,4
28,MA,PC,5
,MA,PC,7
,MA,PC,4
,MU,PC,7
,MU,PC,6
,BE,PC,5
,BE,PC,4
,CP,Mobile,7
,CP,Mobile,4
,CP,Mobile,4
29,CP,Mobile,7
,MA,Mobile,6
,MA,Mobile,3
,MA,Mobile,4
,MU,Mobile,5
,MU,Mobile,3
,BE,Mobile,4
,BE,Mobile,6
,CP,PC,6
,CP,PC,5
30,CP,PC,7
,CP,PC,6
,MA,PC,3
,MA,PC,6
,MA,PC,5
,MU,PC,5
,MU,PC,4
,BE,PC,5
,BE,PC,5
,CP,Mobile,5
31,CP,Mobile,4
,CP,Mobile,5
,CP,Mobile,4
,MA,Mobile,5
,MA,Mobile,7
,MA,Mobile,3
,MU,Mobile,7
,MU,Mobile,5
,BE,Mobile,5
,BE,Mobile,7
32,CP,PC,7
,CP,PC,2
,CP,PC,4
,CP,PC,2
,MA,PC,5
,MA,PC,7
,MA,PC,5
,MU,PC,4
,MU,PC,6
,BE,PC,7
33,BE,PC,4
,CP,Mobile,6
,CP,Mobile,7
,CP,Mobile,4
,CP,Mobile,4
,MA,Mobile,6
,MA,Mobile,3
,MA,Mobile,4
,MU,Mobile,7
,MU,Mobile,7
34,BE,Mobile,4
,BE,Mobile,4
,CP,PC,3
,CP,PC,5
,CP,PC,2
,CP,PC,4
,MA,PC,4
,MA,PC,7
,MA,PC,7
,MU,PC,6
35,MU,PC,6
,BE,PC,6
,BE,PC,4
,CP,Mobile,4
,CP,Mobile,6
,CP,Mobile,4
,CP,Mobile,7
,MA,Mobile,5
,MA,Mobile,5
,MA,Mobile,3
36,MU,Mobile,4
,MU,Mobile,7
,BE,Mobile,7
,BE,Mobile,4
,CP,PC,7
,CP,PC,2
,CP,PC,7
,CP,PC,6
,MA,PC,6
,MA,PC,5
37,MA,PC,4
,MU,PC,5
,MU,PC,4
,BE,PC,7
,BE,PC,7
,CP,Mobile,4
,CP,Mobile,4
,CP,Mobile,7
,CP,Mobile,5
,MA,Mobile,7
38,MA,Mobile,7
,MA,Mobile,5
,MU,Mobile,4
,MU,Mobile,4
,BE,Mobile,5
,BE,Mobile,5
,CP,PC,7
,CP,PC,2
,CP,PC,7
,CP,PC,3
39,MA,PC,5
,MA,PC,5
,MA,PC,5
,MU,PC,7
,MU,PC,3
,BE,PC,5
,BE,PC,5
,CP,Mobile,4
,CP,Mobile,7
,CP,Mobile,6
40,CP,Mobile,5
,MA,Mobile,4
,MA,Mobile,4
,MA,Mobile,7
,MU,Mobile,4
,MU,Mobile,4
,BE,Mobile,7
,BE,Mobile,5
,CP,PC,5
,CP,PC,2
41,CP,PC,2
,CP,PC,7
,MA,PC,3
,MA,PC,7
,MA,PC,5
,MU,PC,3
,MU,PC,5
,BE,PC,5
,BE,PC,4
,CP,Mobile,4
42,CP,Mobile,4
,CP,Mobile,6
,CP,Mobile,6
,MA,Mobile,3
,MA,Mobile,4
,MA,Mobile,5
,MU,Mobile,5
,MU,Mobile,7
,BE,Mobile,5
,BE,Mobile,4
43,CP,PC,5
,CP,PC,6
,CP,PC,7
,CP,PC,3
,MA,PC,6
,MA,PC,4
,MA,PC,4
,MU,PC,7
,MU,PC,3
,BE,PC,4
44,BE,PC,5
,CP,Mobile,5
,CP,Mobile,4
,CP,Mobile,6
,CP,Mobile,4
,MA,Mobile,4
,MA,Mobile,3
,MA,Mobile,5
,MU,Mobile,7
,MU,Mobile,7
45,BE,Mobile,6
,BE,Mobile,5
,CP,PC,7
,CP,PC,4
,CP,PC,3
,CP,PC,5
,MA,PC,4
,MA,PC,5
,MA,PC,3
,MU,PC,5
46,MU,PC,3
,BE,PC,6
,BE,PC,5
,CP,Mobile,5
,CP,Mobile,5
,CP,Mobile,5
,CP,Mobile,4
,MA,Mobile,4
,MA,Mobile,6
,MA,Mobile,6
47,MU,Mobile,6
,MU,Mobile,3
,BE,Mobile,5
,BE,Mobile,4
,CP,PC,7
,CP,PC,2
,CP,PC,7
,CP,PC,6
,MA,PC,5
,MA,PC,6
48,MA,PC,6
,MU,PC,6
,MU,PC,6
,BE,PC,6
,BE,PC,6
,CP,Mobile,6
,CP,Mobile,6
,CP,Mobile,6
,CP,Mobile,6
,MA,Mobile,4
