qus,role,conditions,rank,score
Q1,AR,C1,Rank1,3
Q1,AR,C2,Rank1,3
Q1,AR,C3,Rank1,11
Q2,AR,C1,Rank1,8
Q2,AR,C2,Rank1,1
Q2,AR,C3,Rank1,11
Q3,AR,C1,Rank1,2
Q3,AR,C2,Rank1,8
Q3,AR,C3,Rank1,12
Q4,AR,C1,Rank1,7
Q4,AR,C2,Rank1,2
Q4,AR,C3,Rank1,8
Q5,AR,C1,Rank1,1
Q5,AR,C2,Rank1,7
Q5,AR,C3,Rank1,12
Q1,AR,C1,Rank2,3
Q1,AR,C2,Rank2,12
Q1,AR,C3,Rank2,5
Q2,AR,C1,Rank2,5
Q2,AR,C2,Rank2,12
Q2,AR,C3,Rank2,4
Q3,AR,C1,Rank2,5
Q3,AR,C2,Rank2,8
Q3,AR,C3,Rank2,4
Q4,AR,C1,Rank2,3
Q4,AR,C2,Rank2,16
Q4,AR,C3,Rank2,6
Q5,AR,C1,Rank2,12
Q5,AR,C2,Rank2,9
Q5,AR,C3,Rank2,4
Q1,AR,C1,Rank3,12
Q1,AR,C2,Rank3,3
Q1,AR,C3,Rank3,2
Q2,AR,C1,Rank3,5
Q2,AR,C2,Rank3,5
Q2,AR,C3,Rank3,3
Q3,AR,C1,Rank3,11
Q3,AR,C2,Rank3,2
Q3,AR,C3,Rank3,2
Q4,AR,C1,Rank3,8
Q4,AR,C2,Rank3,0
Q4,AR,C3,Rank3,4
Q5,AR,C1,Rank3,5
Q5,AR,C2,Rank3,2
Q5,AR,C3,Rank3,2
Q1,VR,C1,Rank1,1
Q1,VR,C2,Rank1,3
Q1,VR,C3,Rank1,12
Q2,VR,C1,Rank1,2
Q2,VR,C2,Rank1,7
Q2,VR,C3,Rank1,12
Q3,VR,C1,Rank1,0
Q3,VR,C2,Rank1,5
Q3,VR,C3,Rank1,16
Q4,VR,C1,Rank1,3
Q4,VR,C2,Rank1,8
Q4,VR,C3,Rank1,16
Q5,VR,C1,Rank1,0
Q5,VR,C2,Rank1,3
Q5,VR,C3,Rank1,17
Q1,VR,C1,Rank2,7
Q1,VR,C2,Rank2,11
Q1,VR,C3,Rank2,5
Q2,VR,C1,Rank2,12
Q2,VR,C2,Rank2,8
Q2,VR,C3,Rank2,4
Q3,VR,C1,Rank2,4
Q3,VR,C2,Rank2,13
Q3,VR,C3,Rank2,2
Q4,VR,C1,Rank2,5
Q4,VR,C2,Rank2,9
Q4,VR,C3,Rank2,1
Q5,VR,C1,Rank2,4
Q5,VR,C2,Rank2,13
Q5,VR,C3,Rank2,1
Q1,VR,C1,Rank3,10
Q1,VR,C2,Rank3,4
Q1,VR,C3,Rank3,1
Q2,VR,C1,Rank3,4
Q2,VR,C2,Rank3,3
Q2,VR,C3,Rank3,2
Q3,VR,C1,Rank3,14
Q3,VR,C2,Rank3,0
Q3,VR,C3,Rank3,0
Q4,VR,C1,Rank3,10
Q4,VR,C2,Rank3,1
Q4,VR,C3,Rank3,1
Q5,VR,C1,Rank3,14
Q5,VR,C2,Rank3,2
Q5,VR,C3,Rank3,0